,ID,Sex,Status,Children,Est_Income,Car_Owner,Usage,Age,RatePlan,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,14,50,70,115,121,212,239,259,313,319
10,24,F,M,2,47902.0,N,72.31,26.033333,2,17.44,4.94,49.92,1,Auto,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,29,M,M,1,7545.96,Y,200.75,16.753332999999998,3,22.39,0.0,178.36,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,35,F,S,0,78851.3,N,29.04,48.373333,4,0.37,0.0,28.66,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,36,F,S,1,17540.7,Y,36.2,62.786667,4,22.17,0.57,13.45,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,37,F,M,0,83891.9,Y,74.4,61.02,4,28.92,0.0,45.47,0,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,38,F,M,2,28220.8,N,38.95,38.766667,4,26.49,0.0,12.46,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,40,F,S,0,28589.1,N,100.28,15.6,4,13.19,0.0,87.09,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,42,F,M,2,5237.63,N,78.02,48.753333000000005,2,13.32,8.05,56.64,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,45,M,S,2,89459.9,N,36.05,53.28,2,11.54,1.61,22.9,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,48,F,S,1,13576.5,N,40.49,39.426667,1,14.83,0.0,25.66,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5969562516564149,0.0,0.0
20,52,F,M,2,67388.0,N,96.33,53.12,3,4.79,0.5,91.04,1,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,53,F,M,1,57063.0,Y,98.1,52.333333,4,16.79,0.0,81.3,0,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,54,F,M,2,84166.1,N,15.02,54.013332999999996,2,3.28,0.0,11.74,1,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,60,F,S,1,7737.94,N,61.9,42.666667,4,11.05,0.0,50.84,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,61,M,S,2,100020.0,N,314.62,50.0,4,21.37,0.0,293.24,0,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,62,F,M,2,45287.6,Y,2.97,29.026667,3,0.0,0.0,2.97,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,63,F,M,2,59613.1,N,175.78,34.32,1,12.37,0.0,163.41,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,65,F,S,1,16326.7,N,1.34,50.613333000000004,1,0.0,0.0,1.34,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,68,F,S,2,9559.78,N,77.91,51.38,3,18.31,0.0,59.59,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,71,F,M,2,42031.8,N,59.78,50.753333000000005,4,20.45,0.0,39.33,0,CH,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,73,F,M,2,83284.1,Y,35.96,28.42,4,26.91,0.0,9.04,0,Auto,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,74,M,M,1,39229.1,N,47.1,26.26,4,28.82,4.74,13.53,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,75,F,S,0,68427.4,N,73.81,42.393333,3,23.76,0.0,50.05,0,Auto,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,77,M,S,0,3601.71,N,125.6,49.266667,4,9.57,4.19,111.84,0,Auto,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,78,F,M,0,72642.6,N,39.0,27.646666999999997,4,18.66,0.0,20.34,0,CH,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,79,F,S,0,98716.3,N,43.13,55.66,4,20.97,8.23,13.92,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,80,F,S,2,66182.7,Y,58.87,62.48,2,11.7,0.0,47.17,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,81,F,M,2,84789.3,N,33.47,50.433333000000005,4,14.22,8.8,10.45,0,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,83,F,M,2,35976.5,Y,50.63,48.853333,4,18.85,0.0,31.78,0,Auto,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,84,F,M,0,32703.1,Y,72.89,64.92,4,16.8,0.0,56.09,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,85,F,M,1,77129.1,Y,44.85,61.846667000000004,4,24.77,0.0,20.07,0,CH,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,86,F,M,2,8204.72,N,39.79,52.973333,3,15.59,0.0,24.19,0,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,87,M,M,1,97180.4,N,63.51,50.6,4,8.21,9.63,45.66,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,88,F,M,0,80405.1,N,28.98,60.226667000000006,4,2.91,8.95,17.11,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,89,F,S,2,38280.0,N,86.61,33.74,4,11.64,0.0,74.97,0,Auto,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,90,M,S,0,64136.6,Y,142.37,61.106667,2,16.21,1.0,125.15,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,92,F,M,2,45429.7,Y,97.74,61.713333,2,24.7,0.0,73.04,0,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,94,F,S,0,25285.5,N,21.3,53.986667000000004,1,9.37,0.0,11.93,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,95,F,M,2,77551.1,Y,62.42,33.6,2,20.53,0.0,41.89,1,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,96,F,M,0,38538.4,N,47.66,12.326667,3,22.86,8.32,16.48,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,97,F,S,0,69350.5,Y,27.86,57.42,4,1.9,0.0,25.95,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,104,M,S,2,43634.5,N,143.5,21.78,1,29.44,9.42,104.64,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,108,F,S,1,13109.1,N,62.87,62.606667,1,22.38,0.0,40.48,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,109,M,S,1,92647.5,N,32.13,56.04666700000001,4,16.04,5.74,10.34,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,110,F,S,2,21021.6,Y,14.95,62.753333,3,1.0,0.0,11.19,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,111,M,S,0,74460.7,Y,206.46,55.34,2,25.53,0.99,179.93,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.16509297576817247,0.0,0.0,0.0,0.0,0.0,0.0
56,114,F,S,2,28787.4,N,86.06,41.666667,2,27.97,0.0,58.09,0,Auto,Budget,Standard,0.0,0.4461610476933038,0.0,0.4601127313538879,0.4578521738097232,0.0,0.0,0.0,0.0,0.0
57,117,M,M,1,13091.6,N,43.06,59.126667000000005,2,22.79,0.0,20.26,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,120,F,M,2,62061.8,Y,82.08,45.92,2,29.86,0.0,52.22,0,Auto,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,121,F,M,1,20550.9,Y,85.64,22.12,3,27.72,0.86,57.06,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,124,M,M,2,1765.41,N,47.99,18.766667,4,3.04,0.0,44.95,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,127,F,S,2,19131.1,N,57.07,56.18666700000001,2,22.15,0.0,34.91,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,130,F,S,2,83073.7,N,3.2,39.553333,4,0.0,0.0,3.2,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,133,M,M,2,42750.3,Y,134.97,50.493333,1,20.59,1.97,112.4,0,Auto,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,135,F,S,2,2842.55,N,0.79,45.92,2,0.0,0.0,0.79,0,Auto,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,136,M,M,2,22358.1,N,29.25,52.626667000000005,1,15.54,1.52,12.19,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,138,M,M,0,47870.8,Y,13.82,27.26,2,2.0,1.17,12.48,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.3345639667738551,0.0,0.0,0.0,0.0,0.0
67,139,F,S,2,6440.46,Y,49.86,52.646667,1,22.66,0.0,27.2,0,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,140,F,S,0,7325.5,N,190.06,36.92,2,28.52,0.0,161.54,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,142,M,M,2,28766.9,N,64.2,46.84,1,6.11,0.0,58.08,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,148,M,M,2,91272.2,Y,40.0,25.033333,3,26.99,0.0,13.01,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,154,M,S,0,65000.0,Y,137.0,45.653333,4,11.63,9.7,115.66,1,Auto,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,158,M,M,2,1406.05,Y,26.72,19.306667,1,11.55,0.0,15.17,0,CC,Budget,Standard,0.0,0.4461610476933038,0.0,0.4601127313538879,0.4578521738097232,0.0,0.0,0.0,0.0,0.0
73,160,F,S,0,73228.3,N,50.58,62.0,4,22.47,0.0,28.11,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,161,F,S,2,76231.9,N,152.76,63.806667000000004,2,2.01,0.0,150.75,0,Auto,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,166,M,M,1,64792.3,N,51.41,52.146667,3,13.05,1.51,36.84,0,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,169,F,S,0,93322.1,Y,38.72,40.313333,1,29.92,0.0,8.79,0,CH,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,174,M,M,1,63437.3,N,14.98,63.653332999999996,4,0.68,3.35,10.94,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,178,M,M,2,49910.7,Y,51.14,51.52,3,27.42,0.0,23.72,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,180,M,M,0,76161.4,Y,37.55,44.573333,4,11.96,0.0,25.58,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,181,F,M,2,55860.0,Y,26.37,14.573332999999998,3,16.01,0.0,10.35,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,182,F,S,1,12686.0,N,103.88,64.8,2,23.23,0.0,80.64,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,190,M,M,2,57360.8,Y,67.61,53.253333,1,10.36,0.0,57.25,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,191,M,M,0,92414.7,Y,40.06,45.513333,4,29.43,0.0,10.62,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,192,M,M,1,60102.7,N,72.29,42.14,3,9.84,0.0,62.44,1,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,194,F,M,2,17888.7,N,361.88,55.0,1,29.41,0.0,332.46,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,195,F,S,1,12526.3,N,40.59,53.553332999999995,2,11.72,0.0,28.86,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,198,F,S,2,14578.8,Y,107.02,60.933333,1,11.91,0.0,95.1,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,201,M,M,0,78572.2,Y,51.09,42.346667,4,21.81,0.0,29.28,1,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,203,F,M,2,48238.8,N,191.32,34.706666999999996,4,23.28,0.0,168.03,0,CC,FreeLocal,Standard,0.0,0.4461610476933038,0.0,0.4601127313538879,0.4578521738097232,0.0,0.0,0.0,0.0,0.0
90,205,F,M,0,28770.9,N,49.6,12.34,4,27.99,5.32,16.27,0,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,206,F,M,2,87578.2,Y,22.44,53.36666700000001,1,0.29,0.0,22.15,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,207,F,M,2,86695.4,N,58.03,13.906667,2,25.94,0.0,32.09,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,209,F,S,2,76791.2,N,43.71,61.0,4,20.71,0.0,23.0,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,213,F,D,0,30763.8,Y,57.17,14.193332999999999,4,21.32,0.0,35.85,0,CC,Budget,Standard,0.4176602069132514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,214,F,M,2,3193.6,N,118.82,54.04666700000001,3,4.19,0.0,114.62,1,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,215,M,M,1,69680.9,N,39.8,15.846667000000002,2,7.67,0.0,32.12,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,218,F,M,0,83287.0,N,119.82,45.486667,3,29.64,0.0,90.18,4,Auto,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,219,M,S,0,2056.06,Y,58.8,18.94,2,24.07,6.98,27.75,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,220,F,M,2,7776.6,N,94.2,35.706666999999996,4,25.87,0.0,68.33,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,221,M,M,1,2067.82,N,85.9,47.853333,4,15.25,0.0,70.65,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,222,M,S,0,66666.0,N,20.74,52.0,1,4.58,7.66,8.49,0,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,224,F,M,2,69343.3,N,21.91,42.166667,2,6.36,0.0,15.54,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,225,F,M,0,77000.0,N,24.46,55.0,4,0.57,0.0,23.89,2,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,228,F,M,0,14932.5,N,11.42,52.0,1,4.91,0.0,6.5,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,229,F,S,0,27498.1,N,12.08,42.0,4,2.2,0.0,9.88,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,231,F,M,2,21419.9,N,129.51,59.833332999999996,1,26.39,0.0,103.12,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,232,F,M,2,30665.2,Y,77.44,22.88,3,5.83,8.32,63.28,0,Auto,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,233,F,M,1,66000.0,Y,37.04,63.353333,2,6.08,0.0,30.95,0,Auto,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,234,F,M,2,50561.3,N,129.91,52.0,2,16.6,0.0,113.31,1,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,236,F,S,2,23464.0,Y,64.14,70.0,3,22.43,0.0,41.71,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,237,F,M,2,194.57,N,67.21,42.0,4,28.26,0.0,38.95,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,238,F,M,1,98680.4,Y,26.44,55.0,4,17.58,0.0,8.85,0,CH,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,239,M,M,1,65619.7,Y,158.22,46.0,3,13.56,0.0,144.66,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,240,F,M,1,95620.3,Y,104.53,52.0,2,10.91,0.0,93.61,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,241,F,S,0,85275.0,N,174.09,47.0,2,22.48,0.0,151.61,0,Auto,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,242,F,M,1,66921.4,Y,24.67,43.0,3,15.7,0.0,8.97,0,CC,FreeLocal,Intnl_discount,0.0,0.4461610476933038,0.0,0.4601127313538879,0.4578521738097232,0.0,0.0,0.0,0.0,0.0
117,243,F,M,1,98453.6,Y,25.38,46.0,3,13.72,0.0,11.65,0,Auto,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,244,F,M,2,94026.8,Y,35.63,27.746667,3,25.0,0.0,10.62,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,246,F,S,2,57420.0,Y,277.72,61.0,2,25.18,0.0,252.53,1,Auto,Budget,Standard,0.0,0.0,0.0,0.16509297576817247,0.0,0.0,0.0,0.0,0.0,0.0
120,247,M,M,0,77000.0,N,34.35,44.0,4,3.93,3.73,26.69,1,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,249,M,M,2,47639.1,N,57.11,48.0,4,17.48,0.0,39.62,0,CC,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,250,F,M,2,63234.5,Y,1.16,52.36,3,0.0,0.0,1.16,0,CH,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,254,F,M,2,18296.4,Y,10.47,42.626667,3,0.08,0.0,10.39,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,255,F,S,0,39461.0,N,126.68,22.226667000000003,4,22.87,0.28,103.52,1,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,257,F,S,1,68000.0,N,86.12,60.0,3,22.82,0.0,63.29,0,Auto,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,260,F,M,2,52957.0,Y,151.32,39.746666999999995,2,25.79,0.0,125.52,2,CH,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,261,F,S,2,86747.1,N,57.4,64.85333299999999,3,20.15,0.0,37.24,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,263,F,M,1,87404.6,N,160.84,63.18666700000001,3,21.63,0.0,139.2,0,Auto,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,264,M,S,2,20919.0,N,164.54,27.886667,2,6.26,4.92,153.36,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,265,F,M,2,85394.0,Y,35.69,20.16,4,19.28,2.02,14.38,1,Auto,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,266,F,S,0,2121.36,N,38.8,39.786667,3,2.02,0.0,36.78,1,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,267,F,M,2,63566.1,Y,73.03,56.3,2,7.94,0.0,65.09,0,CH,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,270,F,S,0,89813.6,N,166.18,12.846667,4,14.94,1.96,149.26,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,271,F,M,2,25738.4,N,48.67,50.08,1,19.88,9.57,19.2,0,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,272,F,M,2,82644.2,Y,41.85,33.493333,4,21.97,0.0,19.88,0,CC,FreeLocal,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,273,F,S,1,27783.6,N,29.58,14.04,3,4.97,6.53,18.07,0,CC,FreeLocal,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,276,F,M,2,60485.5,N,40.41,41.666667,1,11.7,0.0,28.7,0,Auto,Budget,Intnl_discount,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,279,F,M,2,809.43,Y,2.89,31.913333,1,0.0,0.0,2.89,0,CH,FreeLocal,Intnl_discount,0.0,0.4461610476933038,0.0,0.4601127313538879,0.4578521738097232,0.0,0.0,0.0,0.0,0.0
139,280,M,S,1,76529.8,N,43.89,58.28,1,18.46,5.36,20.05,0,CC,Budget,Standard,0.0,0.0,0.0,0.0,0.3345639667738551,0.0,0.0,0.0,0.0,0.0
140,281,F,M,2,34577.7,N,145.75,63.253333,2,29.18,0.0,116.57,3,CH,Budget,Standard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
